MIN;AVG;MAX
46;139;542
61;127;464
58;128;361
57;125;451
61;123;502
59;122;375
60;126;515
97;121;168
59;130;440
59;127;441
59;126;473
93;121;209
57;123;427
55;124;534
62;128;440
56;129;478
95;121;167
55;131;552
