MIN;AVG;MAX
11;62;84
45;65;87
51;63;82
50;65;78
53;69;86
45;62;78
7;63;77
54;73;94
63;78;100
59;79;100
64;76;91
54;73;101
36;79;102
48;78;108
50;80;100
30;68;104
23;62;87
