MIN;AVG;MAX
50;138;602
49;125;410
58;123;418
58;129;551
62;125;467
58;124;502
84;126;533
61;126;418
54;129;540
57;127;548
95;121;189
58;123;474
60;123;464
56;124;339
60;126;515
46;126;543
