MIN;AVG;MAX
42;137;308
49;129;289
49;134;264
50;136;271
50;134;263
50;135;255
51;134;265
50;133;250
48;135;263
50;135;264
51;137;267
49;135;265
51;136;266
50;134;261
49;136;261
51;133;252
49;136;264
50;133;244
50;135;232
51;135;242
49;134;247
52;134;245
53;133;243
51;135;258
48;134;260
50;134;255
50;132;237
50;133;248
51;134;252
50;135;258
52;137;258
50;134;251
50;136;241
48;134;241
49;136;247
47;134;250
52;132;237
52;134;249
50;134;249
50;135;256
49;133;244
48;136;241
48;135;247
45;136;265
42;136;250
49;137;270
46;135;263
50;135;262
50;135;258
47;136;267
45;135;266
