MIN;AVG;MAX
7;153;260
43;187;264
137;195;269
159;204;320
91;221;328
46;210;338
120;239;323
86;263;358
173;274;380
57;270;373
69;251;362
84;271;375
74;239;377
111;200;311
88;259;370
181;271;366
