MIN;AVG;MAX
34;130;325
65;121;218
62;123;285
60;122;243
66;122;237
61;122;300
63;121;211
65;122;208
64;127;270
61;131;278
61;132;268
63;129;270
54;132;256
53;130;253
64;131;252
63;130;245
63;131;258
53;132;255
52;130;229
62;131;245
62;131;246
64;132;287
52;131;262
52;132;262
52;132;247
66;131;264
62;131;263
65;130;256
62;131;218
61;130;256
62;132;256
62;131;259
64;131;248
63;131;247
62;130;257
61;132;276
64;132;264
60;131;249
64;131;261
63;129;277
63;133;264
63;133;257
63;131;262
50;132;252
61;130;260
61;132;263
51;130;255
60;131;256
51;131;261
61;131;271
48;132;249
64;131;279
64;131;266
61;130;275
61;129;259
60;130;257
62;129;235
62;132;263
64;130;242
62;131;249
53;131;255
64;132;258
63;129;246
60;133;244
53;130;251
53;132;235
62;130;230
35;132;231
